# {"t_start": 1618171197.100356, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,29.784435
-50.0,50,34.876137
-50.0,50,38.840569
0.0,50,43.264363
-50.0,50,48.063962
-50.0,50,53.301861
-50.0,50,58.175336
-50.0,50,63.255947
0.0,50,68.594255
-50.0,50,74.402378
-50.0,50,79.727025
-50.0,50,85.297277
-50.0,50,90.794155
-50.0,50,96.359632
-50.0,50,101.780792
-50.0,50,107.055659
-50.0,50,112.530736
-50.0,50,117.819356
-50.0,50,123.775683
-50.0,50,129.369609
-50.0,50,134.826958
-50.0,50,140.326396
-50.0,50,144.95718
-50.0,50,149.596355
-50.0,50,153.987805
-50.0,50,158.453439
-50.0,50,162.802388
-50.0,50,166.845631
-50.0,50,171.33458
-50.0,50,175.788374
-50.0,50,180.041845
-50.0,50,184.264385
-50.0,50,188.640268
-50.0,50,192.988095
-50.0,50,197.417391
-50.0,50,202.03565
-50.0,50,205.991194
-50.0,50,210.09799
-50.0,50,214.308825
-50.0,50,218.368996
-50.0,50,222.451174
-50.0,50,226.655175
-50.0,50,230.679041
0.0,50,235.130926
-50.0,50,239.043236
-50.0,50,243.227823
-50.0,50,247.551022
-50.0,50,251.694089
-50.0,50,256.016426
-50.0,50,260.540446
-50.0,50,264.803653
-50.0,50,265.114929
-50.0,50,265.3942
-50.0,50,265.686768
-50.0,50,266.007147
-50.0,50,266.305309
-50.0,50,266.617201
-50.0,50,266.913954
-50.0,50,267.210799
-50.0,50,267.502591
-50.0,50,267.928545
-50.0,50,272.02882
-50.0,50,276.17307
-50.0,50,280.513419
-50.0,50,284.756959
-50.0,50,288.928804
-50.0,50,293.124686
-50.0,50,297.164141
-50.0,50,301.38842
-50.0,50,305.712461
-50.0,50,310.024696
-50.0,50,314.276249
-50.0,50,318.26222
-50.0,50,322.320893
-50.0,50,326.35728
-50.0,50,330.516134
-50.0,50,334.665835
-50.0,50,338.879581
-50.0,50,343.064148
-50.0,50,347.158674
-50.0,50,351.204751
-50.0,50,355.139299
-50.0,50,358.987515
-50.0,50,363.02535
-50.0,50,367.078747
-50.0,50,371.368605
-50.0,50,375.557412
-50.0,50,379.408026
-50.0,50,383.356862
-50.0,50,387.871582
-50.0,50,391.743845
-50.0,50,395.773745
-50.0,50,399.749935
-50.0,50,403.736103
-50.0,50,407.816244
-50.0,50,411.733914
-50.0,50,415.979235
-50.0,50,420.821462
-50.0,50,426.377537
